8.49421	233.08824	25.00000 
8.80309	237.5	8.08824 
9.2973	233.08824	6.61764 
9.80695	225	7.35294 
10.30116	234.5588	4.41179 
10.79537	233.8235	3.67650 
11.30502	236.0294	4.41178 
11.79923	242.647	5.14712 
12.30888	230.147	4.41182 
12.80309	240.4411	4.41184 
13.2973	238.9705	5.14715 
13.79151	238.2352	5.88245 
14.30116	232.3529	6.61769 
14.79537	230.147	9.55888 
15.30502	211.7647	23.52942 
15.79923	250.7352	19.11774 
16.29344	247.7941	17.64708 
16.80309	230.5147	16.54412 
17.31274	202.2058	37.50008 
17.79151	257.7205	59.19126 
